id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,André,André,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Andries,Andries,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Danie,Danie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Daniël,Daniël,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Dawie,Dawie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Fanie,Fanie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Fourie,Fourie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Francois,Francois,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Frederik,Frederik,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Freek,Freek,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Frikkie,Frikkie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Gawie,Gawie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Hennie,Hennie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Jannie,Jannie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Jean Pierre,Jean Pierre,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Johan,Johan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Johannes,Johannes,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Jonnie,Jonnie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Koos,Koos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Kosie,Kosie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Naas,Naas,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Natie,Natie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Piet,Piet,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Pieter,Pieter,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Renier,Renier,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Rudi,Rudi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Sakkie,Sakkie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Sampie,Sampie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Schalk,Schalk,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Stoffel,Stoffel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Theo,Theo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Wilhelm,Wilhelm,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
,Willem,Willem,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,afr,Latin,Gender.male,Category:Afrikaans male given names
