id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Barnard,Barnard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,Basson,Basson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,Blignault,Blignault,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,Blignaut,Blignaut,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,Botha,Botha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,Cilliers,Cilliers,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,Coetzee,Coetzee,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,Coetzer,Coetzer,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,de Jager,de Jager,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,de Klerk,de Klerk,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,de Villiers,de Villiers,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,Devos,Devos,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,du Plessis,du Plessis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,du Preez,du Preez,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,du Toit,du Toit,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
,Ferreira,Ferreira,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,afr,Latin,Gender.unisex,Category:Afrikaans surnames
