id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
99650,Adjei,Adjei,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99651,Agyeman,Agyeman,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99652,Agyemang,Agyemang,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99653,Amoako,Amoako,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99654,Asiedu,Asiedu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99655,Boateng,Boateng,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99656,Cudjoe,Cudjoe,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99657,Donkor,Donkor,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99658,Gyamfi,Gyamfi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99659,Nyarko,Nyarko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99660,Opoku,Opoku,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99661,Quashie,Quashie,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
99662,Sackey,Sackey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aka,Latin,Gender.unisex,Category:English surnames from Akan
