id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Abadi,Abadi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Adem,Adem,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Aga,Aga,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Alemu,Alemu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Assefa,Assefa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Bekele,Bekele,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Bezabeh,Bezabeh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Desta,Desta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Fanta,Fanta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Gebremariam,Gebremariam,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Gebremedhin,Gebremedhin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Getachew,Getachew,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Girma,Girma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Habte,Habte,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Hadera,Hadera,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Hailu,Hailu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Kebede,Kebede,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Mekonnen,Mekonnen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Mengesha,Mengesha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Mengistu,Mengistu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Mesfin,Mesfin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Mulugeta,Mulugeta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Negash,Negash,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Seyoum,Seyoum,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Shiferaw,Shiferaw,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Tadesse,Tadesse,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Taye,Taye,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Tedla,Tedla,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Tefera,Tefera,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Tesfay,Tesfay,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Tesfaye,Tesfaye,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Teshome,Teshome,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Tessema,Tessema,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Tola,Tola,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Woldemariam,Woldemariam,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
,Worku,Worku,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,amh,Latin,Gender.unisex,Category:English surnames from Amharic
