id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,أحمد,أحمد,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,أرسلان,أرسلان,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,الأصبهاني,الأصبهاني,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,الشريفي,الشريفي,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,الطهراني,الطهراني,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,العوادي,العوادي,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,الكتاتني,الكتاتني,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,المصري,المصري,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,انتصار,انتصار,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,بدر,بدر,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,جبران,جبران,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,حاوي,حاوي,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,حداد,حداد,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,حلو,حلو,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,حمادة,حمادة,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,حمزة,حمزة,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,خاشقجي,خاشقجي,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,خوري,خوري,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,داغر,داغر,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,دباس,دباس,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,درزي,درزي,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,درويش,درويش,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,دقنيش,دقنيش,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,دياب,دياب,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,ذو الفقار,ذو الفقار,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,زيدان,زيدان,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,سعادة,سعادة,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,سعيد,سعيد,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,شاكر,شاكر,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,شامي,شامي,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,شاهين,شاهين,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,شكري,شكري,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,شمعون,شمعون,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,شهاب,شهاب,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,شوقي,شوقي,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,صباغ,صباغ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,صراف,صراف,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,صفير,صفير,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,طرابزوني,طرابزوني,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,طرابلسي,طرابلسي,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,طراد,طراد,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,طنوس,طنوس,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,عباس,عباس,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,عبيد,عبيد,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,عساف,عساف,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,عطية,عطية,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,عون,عون,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,غانم,غانم,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,غصن,غصن,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,فرنجية,فرنجية,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,معلوف,معلوف,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,معوض,معوض,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,ميلق,ميلق,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,نابلسي,نابلسي,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,نجار,نجار,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,نقاش,نقاش,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,هلال,هلال,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,هيكل,هيكل,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,ياسين,ياسين,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,يعقوبيان,يعقوبيان,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Arabic,Gender.unisex,Category:Arabic surnames
,Abadi,Abadi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Abbas,Abbas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Abdellatif,Abdellatif,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Abdelrahman,Abdelrahman,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Abdullah,Abdullah,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Abdurrahman,Abdurrahman,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Abood,Abood,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Abubakar,Abubakar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Adnan,Adnan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Ahamed,Ahamed,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Ahmad,Ahmad,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Ahmadi,Ahmadi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Ahmed,Ahmed,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Akel,Akel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Alamin,Alamin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Aleem,Aleem,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Alharbi,Alharbi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Alhassan,Alhassan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Ali,Ali,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Alikhan,Alikhan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
,Alim,Alim,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ara,Latin,Gender.unisex,Category:English surnames from Arabic
