id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,אברהם,אברהם,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,אדם,אדם,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,אהרון,אהרון,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,אסא,אסא,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,ארם,ארם,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,דויד,דויד,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,חנן,חנן,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,יהודא,יהודא,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,יוחנן,יוחנן,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,יוסף,יוסף,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,יעקוב,יעקוב,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,ישוע,ישוע,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,לוקא,לוקא,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,מושא,מושא,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,מרקוס,מרקוס,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,מתי,מתי,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,נוח,נוח,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,עקיבא,עקיבא,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,פולוס,פולוס,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,שאול,שאול,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,שאילא,שאילא,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,שלימון,שלימון,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,תאומא,תאומא,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hebrew,Gender.male,Category:Aramaic male given names
,𐣬𐣤𐣣𐣡𐣭𐣣𐣲,𐣬𐣤𐣣𐣡𐣭𐣣𐣲,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Hatran,Gender.male,Category:Aramaic male given names
,Bethan,Bethan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Latin,Gender.female,Category:English female given names from Aramaic
,Bethany,Bethany,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Latin,Gender.female,Category:English female given names from Aramaic
,Martha,Martha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Latin,Gender.female,Category:English female given names from Aramaic
,Mary,Mary,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Latin,Gender.female,Category:English female given names from Aramaic
,Tabitha,Tabitha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Latin,Gender.female,Category:English female given names from Aramaic
,Talitha,Talitha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Latin,Gender.female,Category:English female given names from Aramaic
,Tamsin,Tamsin,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Latin,Gender.female,Category:English female given names from Aramaic
,Thomasina,Thomasina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Latin,Gender.female,Category:English female given names from Aramaic
,Thomasine,Thomasine,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,arc,Latin,Gender.female,Category:English female given names from Aramaic
