id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Adán,Adán,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Alexandru,Alexandru,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Inaciu,Inaciu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Llucas,Llucas,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Marcos,Marcos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Matéu,Matéu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Pedru,Pedru,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Plutarcu,Plutarcu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Xaime,Xaime,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Xesús,Xesús,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Xicu,Xicu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Xosepe,Xosepe,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Xosué,Xosué,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Xuan,Xuan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
,Xurde,Xurde,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ast,Latin,Gender.male,Category:Asturian male given names
