id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
48773,Cabbarlı,Cabbarlı,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48774,Hüseynov,Hüseynov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48775,Hüseynova,Hüseynova,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48776,İmanquliyev,İmanquliyev,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48777,İmanquliyeva,İmanquliyeva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48778,Mahmudov,Mahmudov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48779,Mahmudova,Mahmudova,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48780,Mustafazadə,Mustafazadə,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48781,Məmmədov,Məmmədov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48782,Məmmədova,Məmmədova,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48783,Nuriyev,Nuriyev,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48784,Nuriyeva,Nuriyeva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48785,Nərimanbəyov,Nərimanbəyov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48786,Nərimanbəyova,Nərimanbəyova,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48787,Teymurov,Teymurov,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48788,Teymurova,Teymurova,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48789,Zayıdzadə,Zayıdzadə,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48790,Zeynallı,Zeynallı,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48791,Əliyev,Əliyev,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
48792,Əliyeva,Əliyeva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,aze,Latin,Gender.unisex,Category:Azerbaijani surnames
