id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
5595,Ірына,Ірына,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5596,Ірэна,Ірэна,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5597,Аўдоцця,Аўдоцця,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5598,Адэлаіда,Адэлаіда,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5599,Аліна,Аліна,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5600,Ала,Ала,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5601,Алена,Алена,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5602,Аляксандра,Аляксандра,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5603,Анастасія,Анастасія,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5604,Ангеліна,Ангеліна,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5605,Анжаліка,Анжаліка,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5606,Анжэла,Анжэла,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5607,Антаніна,Антаніна,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5608,Браніслава,Браніслава,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5609,Вікторыя,Вікторыя,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5610,Віялета,Віялета,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5611,Ванда,Ванда,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5612,Варвара,Варвара,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5613,Вера,Вера,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5614,Вольга,Вольга,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5615,Галіна,Галіна,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5616,Ганна,Ганна,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
5617,Дамініка,Дамініка,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bel,Cyrillic,Gender.female,Category:Belarusian female given names
