id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Іваноў,Іваноў,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Івашкевіч,Івашкевіч,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Абуховіч,Абуховіч,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Алейнікаў,Алейнікаў,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Анісім,Анісім,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Атраховіч,Атраховіч,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Бабарыка,Бабарыка,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Барысаў,Барысаў,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Быкаў,Быкаў,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Вяргейчык,Вяргейчык,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Вячорка,Вячорка,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Глод,Глод,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Грабоўскі,Грабоўскі,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Даніловіч,Даніловіч,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
,Дарашэвіч,Дарашэвіч,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,bel,Cyrillic,Gender.unisex,Category:Belarusian surnames
