id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,অগ্নিহোত্রী,অগ্নিহোত্রী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,আকন,আকন,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,আখঞ্জী,আখঞ্জী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,আখন্দ,আখন্দ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,আখুঞ্জী,আখুঞ্জী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,আখুন্দ,আখুন্দ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,আজাদ,আজাদ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,আফেন্দী,আফেন্দী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,আলম,আলম,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,আলী,আলী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,ওসমানী,ওসমানী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,কানুনগো,কানুনগো,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,খান,খান,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,ঘোষ,ঘোষ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,ঘোষাল,ঘোষাল,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,চৌধুরি,চৌধুরি,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,জাফরী,জাফরী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,ঠাকুর,ঠাকুর,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,তরফদার,তরফদার,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,তালুকদার,তালুকদার,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,পাঠান,পাঠান,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,ফারুকী,ফারুকী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,ফাহ্মী,ফাহ্মী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,বসু,বসু,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,বোস,বোস,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,মজুমদার,মজুমদার,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,মিঞাজী,মিঞাজী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,মিত্র,মিত্র,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,মিয়াজী,মিয়াজী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,মোগল,মোগল,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,রহমান,রহমান,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,রহিম,রহিম,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,রহীম,রহীম,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,রাই,রাই,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,রূমী,রূমী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,রেজা,রেজা,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,শাহ,শাহ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,শেখ,শেখ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,সৈয়দ,সৈয়দ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,হক,হক,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,হাজারী,হাজারী,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,হুসেইন,হুসেইন,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,হোসেন,হোসেন,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Bengali,Gender.unisex,Category:Bengali surnames
,Aktar,Aktar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Banerjee,Banerjee,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Banu,Banu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Baral,Baral,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Begum,Begum,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Bhattacharjee,Bhattacharjee,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Bhattacharya,Bhattacharya,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Bhattacharyya,Bhattacharyya,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Biswa,Biswa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Bose,Bose,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Chatterjee,Chatterjee,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Choudhary,Choudhary,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Choudhry,Choudhry,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Choudhury,Choudhury,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Chowdhury,Chowdhury,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Dalia,Dalia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Dasgupta,Dasgupta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Datta,Datta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Dutta,Dutta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Ganguly,Ganguly,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Ghosal,Ghosal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Ghose,Ghose,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Ghosh,Ghosh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Ghoshal,Ghoshal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Guha,Guha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Hak,Hak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Halder,Halder,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Hoque,Hoque,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Kundu,Kundu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Majumdar,Majumdar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Mia,Mia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Miah,Miah,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Mondal,Mondal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Mukherjee,Mukherjee,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Ohi,Ohi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Roy,Roy,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
,Saha,Saha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ben,Latin,Gender.unisex,Category:English surnames from Bengali
