id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
48962,Aguilar,Aguilar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48963,Ancheta,Ancheta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48964,Andaya,Andaya,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48965,Añonuevo,Añonuevo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48966,Balaoro,Balaoro,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48967,Barrameda,Barrameda,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48968,Basallote,Basallote,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48969,Basco,Basco,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48970,Bonaobra,Bonaobra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48971,Bueno,Bueno,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48972,Camacho,Camacho,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48973,Carillo,Carillo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48974,Chavez,Chavez,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48975,Collantes,Collantes,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48976,Coronel,Coronel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48977,Cruz,Cruz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48978,Diaz,Diaz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48979,Fuentebella,Fuentebella,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48980,Garalde,Garalde,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48981,Garcia,Garcia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48982,Ibasco,Ibasco,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48983,Legaspi,Legaspi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48984,Magallanes,Magallanes,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48985,Magdaraog,Magdaraog,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48986,Manaog,Manaog,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48987,Manlangit,Manlangit,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48988,Mañago,Mañago,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48989,Nuñez,Nuñez,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48990,Quiñones,Quiñones,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48991,Ragasa,Ragasa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48992,Reyes,Reyes,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48993,Roa,Roa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48994,Romero,Romero,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48995,Serrano,Serrano,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48996,Tamayo,Tamayo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48997,Tolentino,Tolentino,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48998,Villafuerte,Villafuerte,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
48999,Villanueva,Villanueva,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
49000,Zulueta,Zulueta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bik,Latin,Gender.unisex,Category:Bikol Central surnames
