id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
39439,ཉི་མ,ཉི་མ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39440,དཔལ་ལྡན,དཔལ་ལྡན,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39441,དབང་ཕྱུག,དབང་ཕྱུག,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39442,དབྱངས་ཅན,དབྱངས་ཅན,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39443,པ་སངས,པ་སངས,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39444,པད་མ་དབྱངས་ཅན,པད་མ་དབྱངས་ཅན,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39445,ཕུར་བུ,ཕུར་བུ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39446,བཀྲ་ཤིས,བཀྲ་ཤིས,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39447,བསོད་ནམས,བསོད་ནམས,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39448,བསྟན་འཛིན,བསྟན་འཛིན,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39449,བྱམས་པ,བྱམས་པ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39450,མིག་དམར,མིག་དམར,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39451,ཚེ་རིང,ཚེ་རིང,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39452,ཟླ་བ,ཟླ་བ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39453,ཡེ་ཤེས,ཡེ་ཤེས,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39454,རིན་ཆེན,རིན་ཆེན,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39455,རྒྱ་མཚོ,རྒྱ་མཚོ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39456,ལྷ་མོ,ལྷ་མོ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39457,ལྷག་པ,ལྷག་པ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39458,སྤེན་པ,སྤེན་པ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.female,Category:Tibetan female given names
39459,ཉི་མ,ཉི་མ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39460,དཔལ་ལྡན,དཔལ་ལྡན,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39461,དབང་ཕྱུག,དབང་ཕྱུག,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39462,པ་སངས,པ་སངས,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39463,ཕུར་བུ,ཕུར་བུ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39464,བཀྲ་ཤིས,བཀྲ་ཤིས,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39465,བསོད་ནམས,བསོད་ནམས,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39466,བསྟན་པ,བསྟན་པ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39467,བསྟན་འཛིན,བསྟན་འཛིན,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39468,བྱམས་པ,བྱམས་པ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39469,བློ་བཟང,བློ་བཟང,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39470,མིག་དམར,མིག་དམར,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
39471,ཚེ་རིང,ཚེ་རིང,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bod,Tibetan,Gender.male,Category:Tibetan male given names
