id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
5869,Awena,Awena,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5870,Aziliz,Aziliz,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5871,Azénor,Azénor,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5872,Barba,Barba,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5873,Berc'hed,Berc'hed,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5874,Brec'hed,Brec'hed,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5875,Brevala,Brevala,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5876,Cathell,Cathell,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5877,Eliboubann,Eliboubann,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5878,Erwana,Erwana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5879,Erwanez,Erwanez,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5880,Gwenina,Gwenina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5881,Gwenivar,Gwenivar,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5882,Gwenn,Gwenn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5883,Gwenola,Gwenola,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5884,Iltuda,Iltuda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5885,Iltuden,Iltuden,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5886,Iltudez,Iltudez,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5887,Kaoura,Kaoura,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5888,Kaourantina,Kaourantina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
5889,Kaourintina,Kaourintina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bre,Latin,Gender.female,Category:Breton female given names
