id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
6014,Айрин,Айрин,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6015,Айрис,Айрис,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6016,Албена,Албена,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6017,Александра,Александра,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6018,Алесандра,Алесандра,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6019,Алис,Алис,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6020,Алисън,Алисън,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6021,Аманда,Аманда,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6022,Ана,Ана,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6023,Ангелина,Ангелина,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6024,Анелия,Анелия,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6025,Анета,Анета,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
6026,Антоанета,Антоанета,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,bul,Cyrillic,Gender.female,Category:Bulgarian female given names
