id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
49159,Abella,Abella,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49160,Abello,Abello,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49161,Acosta,Acosta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49162,Albera,Albera,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49163,Alcàntara,Alcàntara,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49164,Aleixandri,Aleixandri,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49165,Angles,Angles,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49166,Arrufat,Arrufat,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49167,Ballester,Ballester,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49168,Balmes,Balmes,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49169,Batlle,Batlle,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49170,Bernabeu,Bernabeu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49171,Bonmatí,Bonmatí,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49172,Cabrera,Cabrera,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49173,Calabuig,Calabuig,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49174,Caldentey,Caldentey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49175,Camps,Camps,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49176,Canut,Canut,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49177,Capcir,Capcir,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49178,Carbonell,Carbonell,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49179,Casal,Casal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49180,Casals,Casals,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49181,Casanova,Casanova,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49182,Casas,Casas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49183,Cases,Cases,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49184,Climent,Climent,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49185,Costoja,Costoja,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49186,Dalí,Dalí,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49187,Dalmau,Dalmau,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49188,Despuig,Despuig,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49189,Elies,Elies,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49190,Erill,Erill,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49191,Eroles,Eroles,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49192,Espina,Espina,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49193,Espino,Espino,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49194,Fabra,Fabra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49195,Fàbregas,Fàbregas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49196,Fàbregues,Fàbregues,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49197,Ferran,Ferran,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49198,Ferrer,Ferrer,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49199,Formiguera,Formiguera,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49200,Gasol,Gasol,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49201,Gaudí,Gaudí,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49202,Genís,Genís,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
49203,Ginestar,Ginestar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cat,Latin,Gender.unisex,Category:Catalan surnames
