id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Adela,Adela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Adelfa,Adelfa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Agatha,Agatha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Aida,Aida,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Aileen,Aileen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Aiza,Aiza,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Alexandra,Alexandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Alfie,Alfie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Alice,Alice,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Alicia,Alicia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Almeda,Almeda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Althea,Althea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Amapola,Amapola,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Amber,Amber,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Amor,Amor,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Analyn,Analyn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Angel,Angel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Aniana,Aniana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Annabelle,Annabelle,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Annie,Annie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Anselma,Anselma,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Antoinette,Antoinette,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Anya,Anya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Apolonia,Apolonia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Apple,Apple,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,April,April,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Aretha,Aretha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Ariadne,Ariadne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Ariel,Ariel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Arsenia,Arsenia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Asila,Asila,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Asuncion,Asuncion,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Aurelia,Aurelia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Aurora,Aurora,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Ayanna,Ayanna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Baby,Baby,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Babylyn,Babylyn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Bamba,Bamba,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Bambi,Bambi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
,Barbie,Barbie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ceb,Latin,Gender.female,Category:Cebuano female given names
