id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
7524,Ada,Ada,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7525,Adéla,Adéla,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7526,Adélka,Adélka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7527,Adina,Adina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7528,Adriana,Adriana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7529,Adrianka,Adrianka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7530,Agáta,Agáta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7531,Agátka,Agátka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7532,Ajka,Ajka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7533,Albína,Albína,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7534,Albínka,Albínka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7535,Alena,Alena,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7536,Alenka,Alenka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7537,Alexandra,Alexandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7538,Alice,Alice,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7539,Alička,Alička,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7540,Aloisie,Aloisie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7541,Alžběta,Alžběta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7542,Alžbětka,Alžbětka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7543,Amálie,Amálie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7544,Amálka,Amálka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7545,Anastázie,Anastázie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
7546,Andrea,Andrea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ces,Latin,Gender.female,Category:Czech female given names
