id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,ⲁⲣⲓⲥⲟⲛⲏ,ⲁⲣⲓⲥⲟⲛⲏ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲃⲉⲣⲉⲛⲓⲕⲏ,ⲃⲉⲣⲉⲛⲓⲕⲏ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲇⲓⲁⲛⲏ,ⲇⲓⲁⲛⲏ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲉⲩⲇⲟⲝⲓⲁ,ⲉⲩⲇⲟⲝⲓⲁ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲉⲩⲛⲓⲕⲏ,ⲉⲩⲛⲓⲕⲏ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲍⲱⲏ,ⲍⲱⲏ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲑⲉⲕⲗⲁ,ⲑⲉⲕⲗⲁ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲑⲉⲕⲗⲏ,ⲑⲉⲕⲗⲏ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲕⲗⲉⲟⲡⲁⲧⲣⲁ,ⲕⲗⲉⲟⲡⲁⲧⲣⲁ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲕⲗⲉⲩⲡⲁⲧⲣⲁ,ⲕⲗⲉⲩⲡⲁⲧⲣⲁ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲕⲟⲩⲗⲱϫⲉ,ⲕⲟⲩⲗⲱϫⲉ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲙⲁⲣⲓⲁⲙ,ⲙⲁⲣⲓⲁⲙ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲡⲟⲧⲁⲙⲓⲁⲛⲁ,ⲡⲟⲧⲁⲙⲓⲁⲛⲁ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲥⲁⲗⲱⲙⲏ,ⲥⲁⲗⲱⲙⲏ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲥⲁⲣⲁ,ⲥⲁⲣⲁ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲥⲁⲣⲣⲁ,ⲥⲁⲣⲣⲁ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,Reconstruction:Coptic/ⲧⲁⲫⲁⲙⲟⲩⲛ,Reconstruction:Coptic/ⲧⲁⲫⲁⲙⲟⲩⲛ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲩⲡⲁⲧⲉⲓⲁ,ⲩⲡⲁⲧⲉⲓⲁ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ϫⲉⲙⲙⲁϩⲱⲣ,ϫⲉⲙⲙⲁϩⲱⲣ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.female,Category:Coptic female given names
,ⲁⲃⲱⲛⲁϩ,ⲁⲃⲱⲛⲁϩ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.male,Category:Coptic male given names
,ⲁⲅⲣⲓⲡⲡⲓⲛⲟⲥ,ⲁⲅⲣⲓⲡⲡⲓⲛⲟⲥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.male,Category:Coptic male given names
,ⲁⲅⲣⲓⲡⲡⲁⲥ,ⲁⲅⲣⲓⲡⲡⲁⲥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,cop,Coptic,Gender.male,Category:Coptic male given names
