id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Bemrose,Bemrose,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Boscawen,Boscawen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Carne,Carne,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Chegwin,Chegwin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Chenoweth,Chenoweth,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Chirgwin,Chirgwin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Curnow,Curnow,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Killebrew,Killebrew,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Killigrew,Killigrew,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Kitto,Kitto,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Lamphear,Lamphear,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Lamphere,Lamphere,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Lanfear,Lanfear,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Lanphear,Lanphear,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Lanpher,Lanpher,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Lanphere,Lanphere,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Lanphier,Lanphier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Lanyon,Lanyon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Menear,Menear,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Moyle,Moyle,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Newlyn,Newlyn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Opie,Opie,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Penberthy,Penberthy,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Pendarvis,Pendarvis,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Penix,Penix,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Pennix,Pennix,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Penrose,Penrose,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Pentreath,Pentreath,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Rosewarne,Rosewarne,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Scowen,Scowen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Skewes,Skewes,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Skuse,Skuse,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Treen,Treen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Trefethen,Trefethen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Tregear,Tregear,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Tregelles,Tregelles,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Tregenna,Tregenna,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Tregoning,Tregoning,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
,Trelawney,Trelawney,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,cor,Latin,Gender.unisex,Category:English surnames from Cornish
