id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
41768,Angharad,Angharad,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41769,Alys,Alys,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41770,Arianrhod,Arianrhod,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41771,Awen,Awen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41772,Bronwen,Bronwen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41773,Carys,Carys,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41774,Catrin,Catrin,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41775,Celyn,Celyn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41776,Cerys,Cerys,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41777,Eirwen,Eirwen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41778,Eiry,Eiry,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41779,Elain,Elain,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41780,Eurwen,Eurwen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41781,Gwen,Gwen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41782,Gwendolen,Gwendolen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41783,Gwener,Gwener,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41784,Gwenfrewi,Gwenfrewi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41785,Gwenhwyfar,Gwenhwyfar,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41786,Gwenllian,Gwenllian,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41787,Gwenog,Gwenog,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41788,Gwynedd,Gwynedd,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41789,Gwyneira,Gwyneira,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41790,Gwyneth,Gwyneth,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41791,Lowri,Lowri,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41792,Mair,Mair,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41793,Mari,Mari,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41794,Meddyf,Meddyf,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41795,Megan,Megan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41796,Myfanwy,Myfanwy,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
41797,Rhian,Rhian,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.female,Category:Welsh female given names
