id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
121327,Ann,Ann,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121328,Baddams,Baddams,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121329,Baynham,Baynham,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121330,Beddoes,Beddoes,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121331,Beddow,Beddow,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121332,Bennion,Bennion,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121333,Bevan,Bevan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121334,Bevans,Bevans,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121335,Bew,Bew,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121336,Beynon,Beynon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121337,Binyon,Binyon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121338,Blaney,Blaney,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121339,Blevens,Blevens,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121340,Blevins,Blevins,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121341,Bowen,Bowen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121342,Breckon,Breckon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121343,Broadrick,Broadrick,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121344,Broderick,Broderick,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121345,Caddell,Caddell,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121346,Cadigan,Cadigan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121347,Cadogan,Cadogan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121348,Cadwallader,Cadwallader,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121349,Carew,Carew,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121350,Carey,Carey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121351,Cecil,Cecil,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121352,Comey,Comey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121353,Conway,Conway,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121354,Craddock,Craddock,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121355,Crew,Crew,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121356,Crewe,Crewe,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121357,Crichton,Crichton,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121358,Culcheth,Culcheth,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121359,Daffey,Daffey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
121360,Daffy,Daffy,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,cym,Latin,Gender.unisex,Category:English surnames from Welsh
