id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
57539,Aa,Aa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57540,Aab,Aab,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57541,Aach,Aach,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57542,Abendroth,Abendroth,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57543,Accum,Accum,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57544,Adel,Adel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57545,Adenauer,Adenauer,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57546,Adler,Adler,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57547,Aichinger,Aichinger,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57548,Albrecht,Albrecht,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57549,Alge,Alge,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57550,Alten,Alten,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57551,Altenhofen,Altenhofen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57552,Altheim,Altheim,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57553,Alzheimer,Alzheimer,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57554,Ammer,Ammer,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57555,Anheuser,Anheuser,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57556,Apian,Apian,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57557,Apianus,Apianus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57558,Appelhans,Appelhans,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57559,Appelt,Appelt,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
57560,Arendt,Arendt,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,deu,Latin,Gender.unisex,Category:German surnames
