id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
9634,Enòuna,Enòuna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.female,Category:Emilian female given names
9635,Glàvca,Glàvca,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.female,Category:Emilian female given names
9636,Lurèinsa,Lurèinsa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.female,Category:Emilian female given names
9637,Lìddia,Lìddia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.female,Category:Emilian female given names
9638,Màrsia,Màrsia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.female,Category:Emilian female given names
9639,Pepìna,Pepìna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.female,Category:Emilian female given names
9640,Rèinsa,Rèinsa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.female,Category:Emilian female given names
9641,Àdva,Àdva,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.female,Category:Emilian female given names
9642,Èinsa,Èinsa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.female,Category:Emilian female given names
9643,Agustèin,Agustèin,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9644,Alesànder,Alesànder,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9645,Andrea,Andrea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9646,Armandèin,Armandèin,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9647,Armàṅd,Armàṅd,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9648,Aśdrùbel,Aśdrùbel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9649,Bernardèin,Bernardèin,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9650,Bèpe,Bèpe,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9651,Coràdo,Coràdo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9652,Enòtri,Enòtri,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9653,Eurìel,Eurìel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9654,Gaetàṅ,Gaetàṅ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9655,Giuàn,Giuàn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9656,Giuśèpe,Giuśèpe,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9657,Giàni,Giàni,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9658,Giüsèpp,Giüsèpp,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9659,Glàvco,Glàvco,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9660,Ignàsi,Ignàsi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9661,Iuśfòun,Iuśfòun,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9662,Iuśêf,Iuśêf,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9663,Leòun,Leòun,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9664,Licaòun,Licaòun,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9665,Lurèins,Lurèins,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9666,Martèin,Martèin,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9667,Matìa,Matìa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9668,Màrsio,Màrsio,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9669,Màsim,Màsim,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9670,Pepìn,Pepìn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9671,Prìm,Prìm,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9672,Péder,Péder,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9673,Rèins,Rèins,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9674,Stéven,Stéven,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9675,Terèinsi,Terèinsi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9676,Tunèin,Tunèin,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9677,Śvan,Śvan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
9678,Śvàṅ,Śvàṅ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egl,Latin,Gender.male,Category:Emilian male given names
