id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
9487,jwwj,jwwj,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9488,jꜥḥ-ms,jꜥḥ-ms,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9489,jꜥḥ-ḥtp,jꜥḥ-ḥtp,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9490,mnṯw-ḥtp,mnṯw-ḥtp,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9491,mr.s-ꜥnḫ,mr.s-ꜥnḫ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9492,mrt,mrt,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9493,mrt-nbtj,mrt-nbtj,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9494,mryt,mryt,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9495,mryt-jmn,mryt-jmn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9496,mryt-jt.s,mryt-jt.s,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9497,mryt-jtn,mryt-jtn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9498,mryt-ptḥ,mryt-ptḥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9499,mryt-rꜥ,mryt-rꜥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9500,mwt-nfr.t,mwt-nfr.t,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9501,mꜣꜣt-ḥr-nfrw-rꜥ,mꜣꜣt-ḥr-nfrw-rꜥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9502,nbt,nbt,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9503,nfr-nfrw-jtn,nfr-nfrw-jtn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9504,nfr-nfrw-rꜥ,nfr-nfrw-rꜥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9505,nfr-ḥtp.s,nfr-ḥtp.s,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9506,nfrt,nfrt,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9507,nfrt-jj.tj,nfrt-jj.tj,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9508,nfrt-jrj,nfrt-jrj,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9509,nfrt-jꜣbt,nfrt-jꜣbt,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9510,nfrt-kꜣw,nfrt-kꜣw,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9511,nfrt-ḥnwt,nfrt-ḥnwt,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9512,nfrw,nfrw,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9513,nfrw-bjtj,nfrw-bjtj,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9514,nfrw-ptḥ,nfrw-ptḥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9515,nfrw-rꜥ,nfrw-rꜥ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9516,nfrw-sbk,nfrw-sbk,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9517,nt-jqrt,nt-jqrt,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9518,nt-ḥtp,nt-ḥtp,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9519,pr-snt,pr-snt,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9520,psšt,psšt,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9521,pꜣ-jḥjꜣ,pꜣ-jḥjꜣ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
9522,rn.s-rs,rn.s-rs,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,egy,Latin,Gender.female,Category:Egyptian female given names
