id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Ἀβαρβαρέη,Ἀβαρβαρέη,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Ἀγαθή,Ἀγαθή,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Αἰκατερίνη,Αἰκατερίνη,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Ἀλκμήνη,Ἀλκμήνη,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Ἀνακτορία,Ἀνακτορία,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Ἀναστασία,Ἀναστασία,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Ἀνδρομάχη,Ἀνδρομάχη,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Ἄννα,Ἄννα,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Ἀντιγόνη,Ἀντιγόνη,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Ἀρταζώστρη,Ἀρταζώστρη,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Ἀρτυστώνη,Ἀρτυστώνη,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Ἄτοσσα,Ἄτοσσα,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Αὐτονόη,Αὐτονόη,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Βερενίκη,Βερενίκη,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Δαμασπία,Δαμασπία,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
,Δηϊδάμεια,Δηϊδάμεια,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ell,Greek,Gender.female,Category:Ancient Greek female given names
