id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Άγγελος,Άγγελος,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Αγγέλου,Αγγέλου,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Αθανασάκη,Αθανασάκη,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Αθανασάκης,Αθανασάκης,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Αθανασέλης,Αθανασέλης,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Αθανασέλλης,Αθανασέλλης,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Αντωνάκη,Αντωνάκη,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Αντωνάκης,Αντωνάκης,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Αρβανιτόπουλλος,Αρβανιτόπουλλος,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Αρβανιτόπουλος,Αρβανιτόπουλος,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Γιαννάκη,Γιαννάκη,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
,Γιαννάκης,Γιαννάκης,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ell,Greek,Gender.unisex,Category:Greek surnames
