id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Abbey,Abbey,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Abby,Abby,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Addison,Addison,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Addy,Addy,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Adel,Adel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Adell,Adell,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Adie,Adie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Adrian,Adrian,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Aidan,Aidan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Aiden,Aiden,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Ainsley,Ainsley,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Akira,Akira,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Alby,Alby,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Alex,Alex,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Alexis,Alexis,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Ali,Ali,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Allie,Allie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Allison,Allison,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Allyn,Allyn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Alta,Alta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Aly,Aly,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Amari,Amari,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Ananda,Ananda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Andie,Andie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Andrea,Andrea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Andy,Andy,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Angel,Angel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Angelos,Angelos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Anmol,Anmol,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Anne,Anne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Archie,Archie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Arden,Arden,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Ariah,Ariah,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Ariel,Ariel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Arizona,Arizona,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Armine,Armine,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Arshia,Arshia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Ash,Ash,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Asher,Asher,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Ashleigh,Ashleigh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Ashley,Ashley,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Ashton,Ashton,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Aubrey,Aubrey,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Audie,Audie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Audrey,Audrey,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,August,August,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Augusta,Augusta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Avery,Avery,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Ayden,Ayden,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Azariah,Azariah,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Bailey,Bailey,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Benny,Benny,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Bernie,Bernie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Berry,Berry,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Beverley,Beverley,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Beverly,Beverly,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Bevo,Bevo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Billie,Billie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Biren,Biren,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Blair,Blair,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Blake,Blake,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Blayre,Blayre,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Bliss,Bliss,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Blue,Blue,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Bobby,Bobby,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Brady,Brady,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Brett,Brett,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Bri,Bri,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Briar,Briar,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Brogan,Brogan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Brook,Brook,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Brooklyn,Brooklyn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Bryn,Bryn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Caden,Caden,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Cameron,Cameron,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Cammie,Cammie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Cammy,Cammy,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Campbell,Campbell,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Camryn,Camryn,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Carey,Carey,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Carmen,Carmen,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Carney,Carney,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Carol,Carol,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Carrol,Carrol,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Carroll,Carroll,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Carson,Carson,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Cary,Cary,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Casey,Casey,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Cason,Cason,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Cassidy,Cassidy,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Cathain,Cathain,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
,Chandler,Chandler,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,eng,Latin,Gender.unisex,Category:English unisex given names
