id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
71313,Caxton,Caxton,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71314,Chaucer,Chaucer,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71315,de la Pole,de la Pole,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71316,de Stafford,de Stafford,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71317,Dench,Dench,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71318,Geffrey,Geffrey,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71319,griffoun,griffoun,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71320,Howard,Howard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71321,James,James,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71322,John,John,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71323,Michel,Michel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71324,Nowel,Nowel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71325,Sampson,Sampson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71326,Stafford,Stafford,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71327,Wynchester,Wynchester,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
71328,yol,yol,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:Middle English surnames
100786,Chan,Chan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100787,Ching,Ching,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100788,Chio,Chio,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100789,Choi,Choi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100790,Chui,Chui,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100791,Fok,Fok,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100792,Koo,Koo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100793,Kwok,Kwok,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100794,Lam,Lam,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100795,Or,Or,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100796,O'Young,O'Young,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100797,Poon,Poon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100798,Pow,Pow,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100799,Sam,Sam,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100800,Shek,Shek,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100801,So,So,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100802,Tang,Tang,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100803,Tsoi,Tsoi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100804,Yep,Yep,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
100805,Yeung,Yeung,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Latin,Gender.unisex,Category:English surnames from Cantonese
101023,亞當斯,亞當斯,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101024,伍茲,伍茲,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101025,休謨,休謨,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101026,倫敦,倫敦,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101027,傑克遜,傑克遜,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101028,克林頓,克林頓,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101029,列根,列根,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101030,加爾文,加爾文,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101031,卓別林,卓別林,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101032,卡林頓,卡林頓,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101033,卡特,卡特,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101034,史密斯,史密斯,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101035,史汀生,史汀生,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101036,史迪威,史迪威,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101037,古迪納夫,古迪納夫,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101038,吉爾摩,吉爾摩,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101039,哈佛,哈佛,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101040,哈德森,哈德森,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101041,哈德遜,哈德遜,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101042,哈珀,哈珀,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101043,哥倫布,哥倫布,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101044,喬丹,喬丹,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101045,喬伊斯,喬伊斯,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101046,圖靈,圖靈,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101047,奧古斯丁,奧古斯丁,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101048,奧巴馬,奧巴馬,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101049,奧斯丁,奧斯丁,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101050,奧斯汀,奧斯汀,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101051,奧爾丁頓,奧爾丁頓,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101052,奧爾德里奇,奧爾德里奇,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101053,奧爾科特,奧爾科特,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101054,威廉姆斯,威廉姆斯,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101055,威廉斯,威廉斯,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101056,威爾遜,威爾遜,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101057,安德森,安德森,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101058,尼克松,尼克松,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101059,尼克遜,尼克遜,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101060,川普,川普,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101061,巴比,巴比,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101062,巴比特,巴比特,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101063,巴里,巴里,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101064,巴雷特,巴雷特,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101065,布什,布什,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101066,布希,布希,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101067,布朗,布朗,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101068,布殊,布殊,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101069,布萊斯,布萊斯,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101070,布魯諾,布魯諾,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101071,希契科克,希契科克,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101072,庫克,庫克,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101073,康利,康利,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101074,弗雷特,弗雷特,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101075,強生,強生,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101076,愛德華,愛德華,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101077,愛潑斯坦,愛潑斯坦,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101078,戴斯,戴斯,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101079,戴維斯,戴維斯,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101080,托爾金,托爾金,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
101081,托馬斯,托馬斯,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eng,Han,Gender.unisex,Category:zh:English surnames
