id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Alekso,Alekso,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Anastazio,Anastazio,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Anjo,Anjo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Anno,Anno,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Barbro,Barbro,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Doroteo,Doroteo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Elizabeto,Elizabeto,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Emilio,Emilio,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Eminjo,Eminjo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Gerda,Gerda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Gertrudo,Gertrudo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Heleno,Heleno,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Janjo,Janjo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Johanino,Johanino,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Kanjo,Kanjo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Katarino,Katarino,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Margareto,Margareto,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
,Mario,Mario,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,epo,Latin,Gender.female,Category:Esperanto female given names
