id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Aada,Aada,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aade,Aade,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aale,Aale,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aasa,Aasa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Adeele,Adeele,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aet,Aet,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Agaate,Agaate,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Age,Age,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Agne,Agne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Agnes,Agnes,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Agneta,Agneta,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aile,Aile,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aili,Aili,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aime,Aime,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aino,Aino,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Ainu,Ainu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aire,Aire,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Airi,Airi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aita,Aita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aive,Aive,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aleksandra,Aleksandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
,Aliide,Aliide,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,est,Latin,Gender.female,Category:Estonian female given names
