id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
54066,Aare,Aare,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54067,Aarma,Aarma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54068,Aasmaa,Aasmaa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54069,Aasmäe,Aasmäe,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54070,Aav,Aav,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54071,Aavik,Aavik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54072,Ainjärv,Ainjärv,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54073,Alaküla,Alaküla,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54074,Allik,Allik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54075,Altosaar,Altosaar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54076,Alver,Alver,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54077,Antson,Antson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54078,Arro,Arro,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54079,Aru,Aru,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54080,Birn,Birn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54081,Eenpalu,Eenpalu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54082,Eensaar,Eensaar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54083,Eensalu,Eensalu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54084,Ehala,Ehala,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54085,Eskola,Eskola,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54086,Haab,Haab,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54087,Hallikäär,Hallikäär,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54088,Haruoja,Haruoja,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54089,Hermaküla,Hermaküla,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54090,Hirv,Hirv,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54091,Hämarik,Hämarik,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54092,Härma,Härma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54093,Hõbe,Hõbe,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54094,Höövel,Höövel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54095,Ilomets,Ilomets,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54096,Ilves,Ilves,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54097,Ira,Ira,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54098,Ivask,Ivask,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
54099,Jaakson,Jaakson,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,est,Latin,Gender.unisex,Category:Estonian surnames
