id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
48793,Abadiano,Abadiano,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48794,Aboitiz,Aboitiz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48795,Agirre,Agirre,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48796,Andaia,Andaia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48797,Antxieta,Antxieta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48798,Arellano,Arellano,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48799,Aroztegi,Aroztegi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48800,Arrigorriaga,Arrigorriaga,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48801,Azkarraga,Azkarraga,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48802,Berano,Berano,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48803,Berroia,Berroia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48804,Bizkarra,Bizkarra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48805,Bolibar,Bolibar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48806,Elejalde,Elejalde,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48807,Eskibel,Eskibel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48808,Etxeberria,Etxeberria,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48809,Ezkibel,Ezkibel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48810,Ezpeleta,Ezpeleta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48811,Eztegui,Eztegui,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48812,Gabiola,Gabiola,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48813,Garalde,Garalde,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
48814,Garcicea,Garcicea,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,eus,Latin,Gender.unisex,Category:Basque surnames
