id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,آبراهامیان,آبراهامیان,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,آستانه‌ای,آستانه‌ای,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Inherited,Gender.unisex,Category:Persian surnames
,آغاسی,آغاسی,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,آموزگار,آموزگار,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,آمیریان,آمیریان,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,آهوپای,آهوپای,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,احمدی‌نژاد,احمدی‌نژاد,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Inherited,Gender.unisex,Category:Persian surnames
,استیونسون,استیونسون,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,اسفندیاری,اسفندیاری,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,اشتون,اشتون,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,اعظمی,اعظمی,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,الموتی,الموتی,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,امان‌پور,امان‌پور,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Inherited,Gender.unisex,Category:Persian surnames
,امیدیار,امیدیار,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,انصاری,انصاری,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,اوباما,اوباما,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,اژه‌ای,اژه‌ای,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Inherited,Gender.unisex,Category:Persian surnames
,بازرگان,بازرگان,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,بدیع‌الزمان,بدیع‌الزمان,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Inherited,Gender.unisex,Category:Persian surnames
,بروجردی,بروجردی,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,بزرگ‌امید,بزرگ‌امید,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Inherited,Gender.unisex,Category:Persian surnames
,بشردوست,بشردوست,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,بشیر,بشیر,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,بهبهانی,بهبهانی,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,بهرنگی,بهرنگی,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,بیرونی,بیرونی,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
,تاجبخش,تاجبخش,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fas,Arabic,Gender.unisex,Category:Persian surnames
