id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Aalto,Aalto,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Aaltonen,Aaltonen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Aatamila,Aatamila,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Aho,Aho,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Ahokas,Ahokas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Ahola,Ahola,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Aholainen,Aholainen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Ahonen,Ahonen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Ahtinen,Ahtinen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Ahtisaari,Ahtisaari,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Airaksinen,Airaksinen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Airas,Airas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Aittoniemi,Aittoniemi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Alamäki,Alamäki,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Alanen,Alanen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Alanko,Alanko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Alatalo,Alatalo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Alho,Alho,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Alinko,Alinko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Allén,Allén,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Annala,Annala,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Anteroinen,Anteroinen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Antikainen,Antikainen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Antikka,Antikka,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Antila,Antila,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Anttila,Anttila,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Anttonen,Anttonen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Aravirta,Aravirta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Arola,Arola,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Arponen,Arponen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Asikainen,Asikainen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Auvinen,Auvinen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Bottas,Bottas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Celsius,Celsius,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Eerola,Eerola,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Elo,Elo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Eloranta,Eloranta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Ensiö,Ensiö,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Erkkilä,Erkkilä,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Erkko,Erkko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Eronen,Eronen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Ervasti,Ervasti,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Eskelinen,Eskelinen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Eskola,Eskola,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Franssi,Franssi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Franssila,Franssila,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Frantsi,Frantsi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Gadolin,Gadolin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Gallen,Gallen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Gallén,Gallén,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Haapala,Haapala,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Haapalainen,Haapalainen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Haapanen,Haapanen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Haapasalo,Haapasalo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Haavisto,Haavisto,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Hahto,Hahto,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Hakala,Hakala,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Hakamies,Hakamies,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Hakkarainen,Hakkarainen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Hakulinen,Hakulinen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Halinen,Halinen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Halme,Halme,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Halonen,Halonen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Hannula,Hannula,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Hanski,Hanski,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Harju,Harju,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Harjula,Harjula,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Harkimo,Harkimo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Harri,Harri,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Hartikainen,Hartikainen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Hassi,Hassi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
,Hassinen,Hassinen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fin,Latin,Gender.unisex,Category:Finnish surnames
