id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Abeille,Abeille,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Abelin,Abelin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Abou,Abou,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Achour,Achour,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Adanet,Adanet,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Adenot,Adenot,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Adimi,Adimi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Adjani,Adjani,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Aglukark,Aglukark,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Aglukkaq,Aglukkaq,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Aicard,Aicard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Akkouche,Akkouche,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Akram,Akram,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Alaïa,Alaïa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Alaphilippe,Alaphilippe,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Albert,Albert,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Alcais,Alcais,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Alesi,Alesi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Alexandre,Alexandre,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Alexandrescu,Alexandrescu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Aliassime,Aliassime,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Allard,Allard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Alloula,Alloula,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Alouane,Alouane,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Amalric,Amalric,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Amari,Amari,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Amaury,Amaury,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Amoureux,Amoureux,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Amouroux,Amouroux,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Ampère,Ampère,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Amrani,Amrani,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Amraoui,Amraoui,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,André,André,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Andreescu,Andreescu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Andretti,Andretti,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Andrin,Andrin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Androuet,Androuet,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Angelle,Angelle,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Anouilh,Anouilh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Anquetil,Anquetil,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Anspach,Anspach,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Antoine,Antoine,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Antonescu,Antonescu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Aounit,Aounit,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Appelhans,Appelhans,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Arceneaux,Arceneaux,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Archambault,Archambault,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Argand,Argand,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Armanet,Armanet,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Armengaud,Armengaud,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Arnaud,Arnaud,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Arnoux,Arnoux,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Arpajon,Arpajon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Arrouet,Arrouet,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Arruda,Arruda,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Arsenault,Arsenault,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Arseneau,Arseneau,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Arseneault,Arseneault,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Asperger,Asperger,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Asselin,Asselin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Astié,Astié,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Astier,Astier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Attal,Attal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Auberjonois,Auberjonois,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Aubin,Aubin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Auch,Auch,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Aucoin,Aucoin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Audet,Audet,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Audett,Audett,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Audette,Audette,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Audureau,Audureau,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Auf der Maur,Auf der Maur,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Auger,Auger,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Augereau,Augereau,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Augier,Augier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Auriol,Auriol,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Authement,Authement,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Avril,Avril,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Aymé,Aymé,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Azéma,Azéma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Babineaux,Babineaux,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bachand,Bachand,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bachelet,Bachelet,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Badeau,Badeau,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Badeaux,Badeaux,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Badr,Badr,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bahloul,Bahloul,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bailleau,Bailleau,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bailleaux,Bailleaux,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Balandier,Balandier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Balduc,Balduc,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Balladur,Balladur,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Balmadier,Balmadier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Balzac,Balzac,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bananier,Bananier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Baptiste,Baptiste,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Baraduc,Baraduc,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Barbeau,Barbeau,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bard,Bard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bardet,Bardet,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bardot,Bardot,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Barnier,Barnier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Barré,Barré,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Barrette,Barrette,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Barrilleaux,Barrilleaux,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Barthou,Barthou,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Baruc,Baruc,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bassatne,Bassatne,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bassompierre,Bassompierre,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bastien,Bastien,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bathily,Bathily,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Baudelaire,Baudelaire,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Baudier,Baudier,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Baudrillard,Baudrillard,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bauer,Bauer,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Baup,Baup,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bawumia,Bawumia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
,Bazin,Bazin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,fra,Latin,Gender.unisex,Category:French surnames
