id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Aach,Aach,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aachje,Aachje,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aachte,Aachte,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aachtsje,Aachtsje,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aad,Aad,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aadske,Aadske,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aaf,Aaf,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aafje,Aafje,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aafk,Aafk,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aafke,Aafke,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aafkelina,Aafkelina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aafkje,Aafkje,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aai,Aai,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aaie,Aaie,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aaike,Aaike,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Aakje,Aakje,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Anne,Anne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Ienje,Ienje,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
,Nanne,Nanne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,fry,Latin,Gender.female,Category:West Frisian female given names
