id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
121455,Boersma,Boersma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121456,Boonstra,Boonstra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121457,Bruinsma,Bruinsma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121458,Buikema,Buikema,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121459,Bylsma,Bylsma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121460,Dykema,Dykema,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121461,Dykstra,Dykstra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121462,Feenstra,Feenstra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121463,Fennema,Fennema,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121464,Herrema,Herrema,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121465,Hiemstra,Hiemstra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121466,Kingma,Kingma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121467,Koop,Koop,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121468,Miedema,Miedema,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121469,Postema,Postema,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121470,Riemersma,Riemersma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121471,Sikkema,Sikkema,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121472,Talsma,Talsma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121473,Terpstra,Terpstra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121474,Tolsma,Tolsma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121475,Tuinstra,Tuinstra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121476,Veenstra,Veenstra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121477,Wiersma,Wiersma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121478,Zandstra,Zandstra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
121479,Zylstra,Zylstra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,fry,Latin,Gender.unisex,Category:English surnames from West Frisian
