id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
35865,Anna,Anna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35866,Annag,Annag,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35867,Beathag,Beathag,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35868,Brìghde,Brìghde,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35869,Cairistìona,Cairistìona,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35870,Caitrìona,Caitrìona,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35871,Caoimhe,Caoimhe,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35872,Ceiteag,Ceiteag,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35873,Deirdre,Deirdre,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35874,Dorcha,Dorcha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35875,Ealasaid,Ealasaid,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35876,Eilidh,Eilidh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35877,Eithne,Eithne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35878,Eubha,Eubha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35879,Flòraidh,Flòraidh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35880,Leagsaidh,Leagsaidh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35881,Liùsaidh,Liùsaidh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35882,Mairead,Mairead,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35883,Màiri,Màiri,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35884,Marsaili,Marsaili,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35885,Mòr,Mòr,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35886,Mòrag,Mòrag,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35887,Oighrig,Oighrig,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35888,Raonaid,Raonaid,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35889,Seonag,Seonag,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35890,Seònaid,Seònaid,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35891,Sìle,Sìle,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35892,Sìleas,Sìleas,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35893,Sìne,Sìne,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35894,Sìneag,Sìneag,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35895,Sorcha,Sorcha,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35896,Ùna,Ùna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.female,Category:Scottish Gaelic female given names
35897,Àdhamh,Àdhamh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.male,Category:Scottish Gaelic male given names
35898,Ailean,Ailean,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.male,Category:Scottish Gaelic male given names
35899,Aindrea,Aindrea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.male,Category:Scottish Gaelic male given names
35900,Alasdair,Alasdair,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.male,Category:Scottish Gaelic male given names
35901,Amhlaidh,Amhlaidh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.male,Category:Scottish Gaelic male given names
35902,Angus,Angus,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gla,Latin,Gender.male,Category:Scottish Gaelic male given names
