id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Caimbeul,Caimbeul,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,Camshron,Camshron,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,Chaimbeul,Chaimbeul,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,Dùghlas,Dùghlas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,Ghrannd,Ghrannd,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,Grannd,Grannd,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,Mac an t-Sagairt,Mac an t-Sagairt,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,Mac an t-Saoir,Mac an t-Saoir,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,Mac an Tòisiche,Mac an Tòisiche,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacAilein,MacAilein,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacAlasdair,MacAlasdair,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacAoidh,MacAoidh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacAonghais,MacAonghais,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacDhòmhnaill,MacDhòmhnaill,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacDhonnchaidh,MacDhonnchaidh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacEòghain,MacEòghain,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacGilleBhàin,MacGilleBhàin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacGriogair,MacGriogair,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacIain,MacIain,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacLeòid,MacLeòid,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MacLochlainn,MacLochlainn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,MhicFhionghain,MhicFhionghain,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,NicAoidh,NicAoidh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
,NicAonghais,NicAonghais,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,gla,Latin,Gender.unisex,Category:Scottish Gaelic surnames
