id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
59181,Breatnach,Breatnach,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
59182,Búrca,Búrca,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
59183,Ní Bhriain,Ní Bhriain,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
59184,Ní Cheallaigh,Ní Cheallaigh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
59185,Ó Brádaigh,Ó Brádaigh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
59186,Ó Briain,Ó Briain,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
59187,Ó Cathain,Ó Cathain,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
59188,Ó Ceallaigh,Ó Ceallaigh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
59189,Ó Dochartaigh,Ó Dochartaigh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
59190,Ó Maoldúin,Ó Maoldúin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
59191,Ó Súilleabháin,Ó Súilleabháin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:Irish surnames
108108,Abee,Abee,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108109,Agnew,Agnew,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108110,Ahearn,Ahearn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108111,Ahern,Ahern,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108112,Aherne,Aherne,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108113,Auchmuty,Auchmuty,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108114,Barry,Barry,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108115,Beary,Beary,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108116,Beatty,Beatty,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108117,Beery,Beery,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108118,Begley,Begley,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108119,Behan,Behan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108120,Bergin,Bergin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108121,Blake,Blake,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108122,Bligh,Bligh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108123,Bogan,Bogan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108124,Bohan,Bohan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108125,Bohanan,Bohanan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108126,Bohannan,Bohannan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108127,Bohannon,Bohannon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108128,Bohanon,Bohanon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108129,Boland,Boland,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108130,Bolger,Bolger,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108131,Boylan,Boylan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108132,Boyle,Boyle,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108133,Boyne,Boyne,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108134,Bracken,Bracken,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108135,Braden,Braden,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108136,Bradish,Bradish,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108137,Brady,Brady,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108138,Braiden,Braiden,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108139,Branagan,Branagan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108140,Branagh,Branagh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108141,Brandane,Brandane,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108142,Brandon,Brandon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108143,Braniff,Braniff,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108144,Brannigan,Brannigan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108145,Brannock,Brannock,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108146,Branon,Branon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108147,Brazil,Brazil,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108148,Brazzle,Brazzle,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108149,Bree,Bree,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108150,Brennan,Brennan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108151,Breslin,Breslin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108152,Bresnahan,Bresnahan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108153,Briody,Briody,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
108154,Brogan,Brogan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,gle,Latin,Gender.unisex,Category:English surnames from Irish
