id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Aldara,Aldara,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Carmela,Carmela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Carmiña,Carmiña,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Catarina,Catarina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Catuxa,Catuxa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Lita,Lita,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Lúa,Lúa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Manola,Manola,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Manoliña,Manoliña,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Marga,Marga,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Margarida,Margarida,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,María,María,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Maruxa,Maruxa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Mela,Mela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Nela,Nela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Rodolfa,Rodolfa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Sara,Sara,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Sofía,Sofía,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Uxía,Uxía,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Verónica,Verónica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Virxinia,Virxinia,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Xoana,Xoana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Xudit,Xudit,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Xudite,Xudite,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.female,Category:Galician female given names
,Adrao,Adrao,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Alberte,Alberte,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Amadeu,Amadeu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Amaro,Amaro,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,André,André,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Antón,Antón,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Arvaldo,Arvaldo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Baldomero,Baldomero,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Berenguel,Berenguel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Bieito,Bieito,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Brais,Brais,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Brandán,Brandán,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Breixo,Breixo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Bréixome,Bréixome,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Caetano,Caetano,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Clodio,Clodio,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Colme,Colme,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Corme,Corme,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Cosme,Cosme,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Diego,Diego,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Domingos,Domingos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Estevo,Estevo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Farruco,Farruco,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Froila,Froila,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Fuco,Fuco,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Guillerme,Guillerme,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Guterre,Guterre,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Hilario,Hilario,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Iago,Iago,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Lito,Lito,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Lois,Lois,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Maneco,Maneco,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Manoel,Manoel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Manoliño,Manoliño,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Manolo,Manolo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Miguel,Miguel,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Mingos,Mingos,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Nelo,Nelo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Perucho,Perucho,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Randulfo,Randulfo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Rodrigo,Rodrigo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Roi,Roi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Román,Román,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Santiago,Santiago,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Teoderico,Teoderico,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Tomé,Tomé,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xacobe,Xacobe,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xan,Xan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xenxo,Xenxo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xeremías,Xeremías,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xesús,Xesús,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xián,Xián,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xiao,Xiao,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xoán,Xoán,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xohán,Xohán,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xosé,Xosé,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
,Xurxo,Xurxo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,glg,Latin,Gender.male,Category:Galician male given names
