id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
57021,Abelleira,Abelleira,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57022,Albor,Albor,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57023,Alcobre,Alcobre,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57024,Aldariz,Aldariz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57025,Aldemunde,Aldemunde,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57026,Alemparte,Alemparte,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57027,Alén,Alén,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57028,Alvite,Alvite,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57029,Amarante,Amarante,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57030,Amaro,Amaro,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57031,Andrade,Andrade,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57032,André,André,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57033,Anseán,Anseán,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57034,Ansemil,Ansemil,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57035,Ansoar,Ansoar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57036,Ascariz,Ascariz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57037,Asenso,Asenso,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57038,Baamonde,Baamonde,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57039,Balboa,Balboa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57040,Baldomar,Baldomar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57041,Baldomir,Baldomir,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57042,Balea,Balea,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57043,Baleato,Baleato,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57044,Baltar,Baltar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57045,Balvís,Balvís,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57046,Bamio,Bamio,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57047,Bao,Bao,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57048,Barallobre,Barallobre,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57049,Barcia,Barcia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57050,Bascuas,Bascuas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57051,Bazar,Bazar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57052,Baña,Baña,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57053,Bemposta,Bemposta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57054,Berbia,Berbia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57055,Bergantiños,Bergantiños,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57056,Bonome,Bonome,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57057,Boo,Boo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57058,Boubeta,Boubeta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57059,Boutureira,Boutureira,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57060,Bóveda,Bóveda,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57061,Brandariz,Brandariz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57062,Brea,Brea,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57063,Brión,Brión,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
57064,Buceta,Buceta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glg,Latin,Gender.unisex,Category:Galician surnames
