id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
30310,Aimil,Aimil,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30311,Ainelag,Ainelag,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30312,Alistreeney,Alistreeney,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30313,Ann,Ann,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30314,Bahee,Bahee,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30315,Barbrey,Barbrey,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30316,Bessee,Bessee,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30317,Blaanid,Blaanid,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30318,Blaunsh,Blaunsh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30319,Breeshey,Breeshey,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30320,Catreeney,Catreeney,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30321,Clare,Clare,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30322,Cooney,Cooney,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30323,Creeney,Creeney,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30324,Creesteeney,Creesteeney,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30325,Dee,Dee,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30326,Ealisaid,Ealisaid,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30327,Ealish,Ealish,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30328,Eaylee,Eaylee,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
30329,Edeeney,Edeeney,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,glv,Latin,Gender.female,Category:Manx female given names
