id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
16102,Reconstruction:Gothic/𐌰𐌸𐌰𐌻𐌰𐍆𐌿𐌽𐍃,Reconstruction:Gothic/𐌰𐌸𐌰𐌻𐌰𐍆𐌿𐌽𐍃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16103,Reconstruction:Gothic/𐌰𐌹𐍅𐌰𐍂𐌴𐌹𐌺𐍃,Reconstruction:Gothic/𐌰𐌹𐍅𐌰𐍂𐌴𐌹𐌺𐍃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16104,𐌰𐌹𐍅𐌰𐍂𐌴𐌹𐌺𐍃,𐌰𐌹𐍅𐌰𐍂𐌴𐌹𐌺𐍃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16105,Reconstruction:Gothic/𐌰𐌻𐌰𐍂𐌴𐌹𐌺𐍃,Reconstruction:Gothic/𐌰𐌻𐌰𐍂𐌴𐌹𐌺𐍃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16106,𐌱𐌰𐍄𐍅𐌹𐌽𐍃,𐌱𐌰𐍄𐍅𐌹𐌽𐍃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16107,Reconstruction:Gothic/𐌲𐌰𐌹𐍃𐌰𐌻𐌰𐌹𐌺𐍃,Reconstruction:Gothic/𐌲𐌰𐌹𐍃𐌰𐌻𐌰𐌹𐌺𐍃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16108,𐌲𐌿𐌳𐌹𐌻𐌿𐌱,𐌲𐌿𐌳𐌹𐌻𐌿𐌱,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16109,𐌳𐌰𐌼𐌾𐌰𐌽𐌿𐍃,𐌳𐌰𐌼𐌾𐌰𐌽𐌿𐍃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16110,𐌼𐌴𐍂𐌹𐌻𐌰,𐌼𐌴𐍂𐌹𐌻𐌰,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16111,𐌿𐍆𐌹𐍄𐌰𐌷𐌰𐍂𐌹,𐌿𐍆𐌹𐍄𐌰𐌷𐌰𐍂𐌹,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16112,𐍃𐌿𐌽𐌾𐌰𐌹𐍆𐍂𐌹𐌸𐌰𐍃,𐍃𐌿𐌽𐌾𐌰𐌹𐍆𐍂𐌹𐌸𐌰𐍃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16113,Reconstruction:Gothic/𐍃𐍅𐌹𐌽𐌸𐌹𐌻𐌰,Reconstruction:Gothic/𐍃𐍅𐌹𐌽𐌸𐌹𐌻𐌰,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16114,𐍅𐌴𐍂𐌴𐌺𐌰,𐍅𐌴𐍂𐌴𐌺𐌰,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16115,𐍅𐌹𐌻𐌾𐌰𐍂𐌹𐌸,𐍅𐌹𐌻𐌾𐌰𐍂𐌹𐌸,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16116,Reconstruction:Gothic/𐍅𐌹𐍄𐌹𐍂𐌴𐌹𐌺𐍃,Reconstruction:Gothic/𐍅𐌹𐍄𐌹𐍂𐌴𐌹𐌺𐍃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16117,Reconstruction:Gothic/𐍅𐌿𐌻𐍆𐌹𐌻𐌰,Reconstruction:Gothic/𐍅𐌿𐌻𐍆𐌹𐌻𐌰,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
16118,Reconstruction:Gothic/𐍆𐌰𐍂𐌳𐌹𐌽𐌰𐌽𐌸𐍃,Reconstruction:Gothic/𐍆𐌰𐍂𐌳𐌹𐌽𐌰𐌽𐌸𐍃,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,got,Gothic,Gender.male,Category:Gothic male given names
