id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
107750,Dani,Dani,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107751,Dave,Dave,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107752,Gadhavi,Gadhavi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107753,Gohil,Gohil,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107754,Jhaveri,Jhaveri,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107755,Jinnah,Jinnah,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107756,Kunda,Kunda,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107757,Nayak,Nayak,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107758,Parikh,Parikh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107759,Patel,Patel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107760,Shah,Shah,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107761,Suthar,Suthar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107762,Talati,Talati,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107763,Thakkar,Thakkar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107764,Thekdi,Thekdi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107765,Vora,Vora,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
107766,Zaveri,Zaveri,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,guj,Latin,Gender.unisex,Category:English surnames from Gujarati
