id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
58441,Alana,Alana,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58442,Hale,Hale,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58443,Hekekia,Hekekia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58444,Iona,Iona,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58445,Iosua,Iosua,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58446,Kahale,Kahale,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58447,Kahananui,Kahananui,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58448,Kahele,Kahele,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58449,Kahue,Kahue,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58450,Kaiwi,Kaiwi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58451,Kalama,Kalama,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58452,Kalani,Kalani,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58453,Kalawaiʻa,Kalawaiʻa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58454,Kalili,Kalili,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58455,Kalua,Kalua,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58456,Kama,Kama,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58457,Kamaka,Kamaka,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58458,Kameāloha,Kameāloha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58459,Kāne,Kāne,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58460,Kapule,Kapule,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58461,Kawai,Kawai,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58462,Kaʻanāʻanā,Kaʻanāʻanā,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58463,Kaʻaukai,Kaʻaukai,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58464,Kaʻuhane,Kaʻuhane,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58465,Keahi,Keahi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58466,Kealoha,Kealoha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58467,Keawe,Keawe,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58468,Kekoa,Kekoa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58469,Kelekolio,Kelekolio,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58470,Keliʻi,Keliʻi,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58471,Mahelona,Mahelona,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58472,Mahiʻai,Mahiʻai,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58473,Māhoe,Māhoe,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58474,Palakiko,Palakiko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
58475,ʻAkamu,ʻAkamu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,haw,Latin,Gender.unisex,Category:Hawaiian surnames
