id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
35942,Aleksandra,Aleksandra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35943,Alma,Alma,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35944,Ana,Ana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35945,Andrea,Andrea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35946,Anka,Anka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35947,Azra,Azra,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35948,Borna,Borna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35949,Branka,Branka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35950,Danica,Danica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35951,Draga,Draga,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35952,Dragana,Dragana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35953,Ekaterina,Ekaterina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35954,Elma,Elma,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35955,Emilija,Emilija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35956,Gordana,Gordana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35957,Ines,Ines,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35958,Iva,Iva,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35959,Ivana,Ivana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35960,Jana,Jana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35961,Jasna,Jasna,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35962,Josipa,Josipa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35963,Kata,Kata,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35964,Katarina,Katarina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35965,Katica,Katica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35966,Ljuba,Ljuba,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35967,Marica,Marica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35968,Marija,Marija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35969,Marina,Marina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35970,Marinela,Marinela,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35971,Matija,Matija,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35972,Maša,Maša,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35973,Milica,Milica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35974,Milka,Milka,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35975,Mira,Mira,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35976,Mirjana,Mirjana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35977,Monika,Monika,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35978,Nada,Nada,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35979,Nika,Nika,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35980,Nikica,Nikica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35981,Nikolina,Nikolina,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35982,Romana,Romana,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35983,Sanja,Sanja,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35984,Saša,Saša,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
35985,Selena,Selena,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.female,Category:Serbo-Croatian female given names
