id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
95575,Aleksandar,Aleksandar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95576,Balšić,Balšić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95577,Bačić,Bačić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95578,Blagojević,Blagojević,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95579,Bobić,Bobić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95580,Bojanić,Bojanić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95581,Bosanac,Bosanac,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95582,Bradarić,Bradarić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95583,Bradić,Bradić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95584,Bračević,Bračević,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95585,Bregović,Bregović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95586,Brozović,Brozović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95587,Crnčević,Crnčević,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95588,Crvelin,Crvelin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95589,Damjanović,Damjanović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95590,Damnjanović,Damnjanović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95591,Dmitrović,Dmitrović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95592,Dragić,Dragić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95593,Dulčić,Dulčić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95594,Džeko,Džeko,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95595,Filipović,Filipović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95596,Frajtović,Frajtović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95597,Gambasom,Gambasom,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95598,Glušević,Glušević,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95599,Grujić,Grujić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95600,Handanović,Handanović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95601,Horvat,Horvat,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95602,Ibrahimović,Ibrahimović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95603,Ilić,Ilić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95604,Ivanović,Ivanović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95605,Janjošević,Janjošević,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95606,Janjošić,Janjošić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95607,Janjušević,Janjušević,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95608,Janjušić,Janjušić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95609,Janković,Janković,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95610,Jelenčić,Jelenčić,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95611,Jovanović,Jovanović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
95612,Jović,Jović,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,hbs,Latin,Gender.unisex,Category:Serbo-Croatian surnames
