id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,אביגיל,אביגיל,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אביה,אביה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אדר,אדר,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אוריה,אוריה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אורית,אורית,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אחינועם,אחינועם,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,איה,איה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,איזבל,איזבל,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אלישבע,אלישבע,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אנה,אנה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אסיה,אסיה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אסנת,אסנת,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אסתר,אסתר,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אפרת,אפרת,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,אריאל,אריאל,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,בר,בר,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,בת שבע,בת שבע,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,גולן,גולן,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,גיל,גיל,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,גילה,גילה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,דבורה,דבורה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,דורון,דורון,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,דורית,דורית,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,דניאל,דניאל,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,הגר,הגר,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,הדס,הדס,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
,הדסה,הדסה,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,heb,Hebrew,Gender.female,Category:Hebrew female given names
