id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,אדלשטיין,אדלשטיין,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,אהרוני,אהרוני,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,אובמה,אובמה,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,אוחיון,אוחיון,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,אורון,אורון,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,איינשטיין,איינשטיין,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,אסא,אסא,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,אפשטיין,אפשטיין,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,ארבייטמן,ארבייטמן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,אתר,אתר,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,באך,באך,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,בוגן,בוגן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,בנאי,בנאי,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,בנט,בנט,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,בר,בר,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,ברמן,ברמן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,ברק,ברק,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,גאן,גאן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,גבריהו,גבריהו,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,גדות,גדות,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,גוטפריד,גוטפריד,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,גולדברג,גולדברג,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,גולן,גולן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,גילברט,גילברט,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,גרוזובסקי,גרוזובסקי,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,דורון,דורון,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,הופמן,הופמן,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,הורוביץ,הורוביץ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,העם,העם,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,חסון,חסון,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,טל,טל,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,טננבום,טננבום,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,טרומפלדור,טרומפלדור,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
,יוחאי,יוחאי,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,heb,Hebrew,Gender.unisex,Category:Hebrew surnames
