id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Abadiano,Abadiano,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Abello,Abello,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Aguilar,Aguilar,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Ancheta,Ancheta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Andrada,Andrada,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Aragon,Aragon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Arcilla,Arcilla,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Arnaiz,Arnaiz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Balajadia,Balajadia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Balmaceda,Balmaceda,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Baluyot,Baluyot,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Bantug,Bantug,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Barrientos,Barrientos,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Bartolome,Bartolome,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Basco,Basco,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Bautista,Bautista,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Billones,Billones,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Bitoon,Bitoon,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Bucad,Bucad,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Buenaventura,Buenaventura,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Carmona,Carmona,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Cruz,Cruz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Cuevas,Cuevas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,de la Cruz,de la Cruz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,de la Torre,de la Torre,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,dela Cruz,dela Cruz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,dela Torre,dela Torre,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Delgado,Delgado,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Deocampo,Deocampo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Diaz,Diaz,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Divinagracia,Divinagracia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Dueñas,Dueñas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Embang,Embang,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Enriquez,Enriquez,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Escalante,Escalante,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Flores,Flores,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Franco,Franco,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Garcia,Garcia,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Gaviola,Gaviola,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Gonzales,Gonzales,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Gorriceta,Gorriceta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Guevarra,Guevarra,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Guillen,Guillen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Hilado,Hilado,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Hilario,Hilario,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Hipolito,Hipolito,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
,Ibañez,Ibañez,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hil,Latin,Gender.unisex,Category:Hiligaynon surnames
