id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,अग्रवाल,अग्रवाल,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,अरोरा,अरोरा,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,असलम,असलम,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,अस्थाना,अस्थाना,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,आडवाणी,आडवाणी,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,ओबामा,ओबामा,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,कच्छारा,कच्छारा,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,कपूर,कपूर,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,कुशवाहा,कुशवाहा,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,केजरीवाल,केजरीवाल,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,कैफ,कैफ,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,कोठारी,कोठारी,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,खंडेलवाल,खंडेलवाल,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,ख़ान,ख़ान,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,खान,खान,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,गाँधी,गाँधी,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,गांगुली,गांगुली,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,गांधी,गांधी,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,गुप्ता,गुप्ता,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,गॉर्डन,गॉर्डन,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,चंद,चंद,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,चौधरी,चौधरी,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
,चौबे,चौबे,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hin,Devanagari,Gender.unisex,Category:Hindi surnames
