id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Ady,Ady,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,András,András,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Andrássy,Andrássy,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Antal,Antal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Asztalos,Asztalos,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Baán,Baán,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Babits,Babits,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Babos,Babos,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Balázs,Balázs,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bali,Bali,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bálint,Bálint,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Balog,Balog,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Balogh,Balogh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bánki,Bánki,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Baross,Baross,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bartók,Bartók,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Batthyány,Batthyány,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Beck,Beck,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Beethoven,Beethoven,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Béres,Béres,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bernstein,Bernstein,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bethlen,Bethlen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bodnár,Bodnár,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bodri,Bodri,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bognár,Bognár,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bolyai,Bolyai,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Bornemissza,Bornemissza,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Buda,Buda,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Cseh,Cseh,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Cserba,Cserba,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Cseszneky,Cseszneky,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Csokonai,Csokonai,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Csoma,Csoma,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Csukás,Csukás,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Csurka,Csurka,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Dávid,Dávid,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Deák,Deák,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Demszky,Demszky,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Dobó,Dobó,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Dobos,Dobos,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
,Dózsa,Dózsa,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hun,Latin,Gender.unisex,Category:Hungarian surnames
