id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Ագապի,Ագապի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Աիդա,Աիդա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Ալինա,Ալինա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Ալլա,Ալլա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Ալվարդ,Ալվարդ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Ամալյա,Ամալյա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Այծեմնիկ,Այծեմնիկ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Անահիտ,Անահիտ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Անթառամ,Անթառամ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Անժելա,Անժելա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Անի,Անի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Աննա,Աննա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Անուշ,Անուշ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Աշխեն,Աշխեն,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Աստղիկ,Աստղիկ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Արման,Արման,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Արմենուհի,Արմենուհի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Արմինե,Արմինե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Արշալույս,Արշալույս,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Արուսյակ,Արուսյակ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Գայանե,Գայանե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Գոհար,Գոհար,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Դալար,Դալար,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Դիանա,Դիանա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Դորոթեա,Դորոթեա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Ելենա,Ելենա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Եղիսաբեթ,Եղիսաբեթ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Եվա,Եվա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Եվգենյա,Եվգենյա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Զարուհի,Զարուհի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Զեմֆիրա,Զեմֆիրա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Զեփյուռ,Զեփյուռ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Զոյա,Զոյա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Զվարթ,Զվարթ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Էլեն,Էլեն,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Էրեբունի,Էրեբունի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Ինգա,Ինգա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Լիանա,Լիանա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Լիլիթ,Լիլիթ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Լուսինե,Լուսինե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Կլարա,Կլարա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Համեստ,Համեստ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Հասմիկ,Հասմիկ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Հեղինե,Հեղինե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Հռիփսիմե,Հռիփսիմե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Հռութ,Հռութ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Հրաչյա,Հրաչյա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Հուդիթ,Հուդիթ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Մանե,Մանե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Մարալ,Մարալ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Մարիամ,Մարիամ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Մարիաննա,Մարիաննա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Մետաքսյա,Մետաքսյա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Յուլյա,Յուլյա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նազիկ,Նազիկ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նաթելա,Նաթելա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նաիրա,Նաիրա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նաիրի,Նաիրի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նանե,Նանե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նարե,Նարե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նարինե,Նարինե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նելլի,Նելլի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նոյեմի,Նոյեմի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նվարդ,Նվարդ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նունե,Նունե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Նունուֆար,Նունուֆար,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Շամիրամ,Շամիրամ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Շաքար,Շաքար,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Շուշան,Շուշան,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Շուշանիկ,Շուշանիկ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Ռաքել,Ռաքել,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Ռիտա,Ռիտա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Սաթենիկ,Սաթենիկ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Սառա,Սառա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Սեդա,Սեդա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Սիլվա,Սիլվա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Սմբատուհի,Սմբատուհի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Սյունե,Սյունե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Սոնա,Սոնա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Վարվառա,Վարվառա,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Վարվառե,Վարվառե,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Տաթև,Տաթև,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Տաթևիկ,Տաթևիկ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Տաճատուհի,Տաճատուհի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Տիգրանուհի,Տիգրանուհի,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
,Փառանձեմ,Փառանձեմ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,hye,Armenian,Gender.female,Category:Armenian female given names
