id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Աբաջյան,Աբաջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Աբովյան,Աբովյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Աբրահամյան,Աբրահամյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ադոնց,Ադոնց,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ալբարյան,Ալբարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ալեքսանյան,Ալեքսանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ահարոնյան,Ահարոնյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Աղայան,Աղայան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Աղջայան,Աղջայան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Աճառյան,Աճառյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Աճեմյան,Աճեմյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ամիրխանյան,Ամիրխանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ամիրյան,Ամիրյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Այվազյան,Այվազյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Անդրեասյան,Անդրեասյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Անդրիասյան,Անդրիասյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Աշոտյան,Աշոտյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ապրեսյան,Ապրեսյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Առաքելյան,Առաքելյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Առուշանյան,Առուշանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ասատրյան,Ասատրյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ասատուրյան,Ասատուրյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ասլանյան,Ասլանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ավագյան,Ավագյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ավանիսյան,Ավանիսյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ավգերյան,Ավգերյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ավետիսյան,Ավետիսյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ավետյան,Ավետյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Արամյան,Արամյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Արզումանյան,Արզումանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Արթունյան,Արթունյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Արիստակեսյան,Արիստակեսյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Արշակյան,Արշակյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Արոնյան,Արոնյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Արսենյան,Արսենյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Արսլանյան,Արսլանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բաբայան,Բաբայան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բաբաջանյան,Բաբաջանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բաբլոյան,Բաբլոյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բագրատյան,Բագրատյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բադրուպանյան,Բադրուպանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բալայան,Բալայան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բակալյան,Բակալյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բաղդասարյան,Բաղդասարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բաղրամյան,Բաղրամյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բարխուդարյան,Բարխուդարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բարսեղյան,Բարսեղյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բեգլարյան,Բեգլարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բեկյան,Բեկյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բերբերյան,Բերբերյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բիլզերյան,Բիլզերյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բոյաջյան,Բոյաջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բրուտյան,Բրուտյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Բուդաքյան,Բուդաքյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գալստյան,Գալստյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գասպարյան,Գասպարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գարագաշյան,Գարագաշյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գարճյան,Գարճյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գաֆեսճյան,Գաֆեսճյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գեղամյան,Գեղամյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գեջեյան,Գեջեյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գևորգյան,Գևորգյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գիլոյան,Գիլոյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գինոսյան,Գինոսյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գյուլազյան,Գյուլազյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գյուլասարյան,Գյուլասարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գյուլբենկյան,Գյուլբենկյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գյուլեզյան,Գյուլեզյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գյուրջինյան,Գյուրջինյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գոճանյան,Գոճանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Գրիգորյան,Գրիգորյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դանիելյան,Դանիելյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դավթյան,Դավթյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դարբինյան,Դարբինյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դաքեսյան,Դաքեսյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դեդեյան,Դեդեյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դեմիրճյան,Դեմիրճյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դևեջյան,Դևեջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դինգիլյան,Դինգիլյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դոլմայան,Դոլմայան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դոլմաջյան,Դոլմաջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դողրամաջյան,Դողրամաջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դոնդուրմաջյան,Դոնդուրմաջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Դուրգարյան,Դուրգարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Եգարյան,Եգարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Եղիազարյան,Եղիազարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Եսայան,Եսայան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Երեմյան,Երեմյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Երվինյան,Երվինյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Զադոյան,Զադոյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Զարդարյան,Զարդարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Զարմանյան,Զարմանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Զաքարյան,Զաքարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Զիլճյան,Զիլճյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Էլբակյան,Էլբակյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Էնֆիաջյան,Էնֆիաջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Էքմեքջյան,Էքմեքջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թադևոսյան,Թադևոսյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թաթուլյան,Թաթուլյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թախտաջյան,Թախտաջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թահմազյան,Թահմազյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թաշճյան,Թաշճյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թասլաքյան,Թասլաքյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թարխանյան,Թարխանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թելֆեյան,Թելֆեյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թոմասյան,Թոմասյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թովմասյան,Թովմասյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թորոյան,Թորոյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թորոսյան,Թորոսյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Թութունջյան,Թութունջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ժամկոչյան,Ժամկոչյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Իլանջյան,Իլանջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ինեքճյան,Ինեքճյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ինճիճյան,Ինճիճյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Իշխանյան,Իշխանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Իսախանյան,Իսախանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Իսկանդարյան,Իսկանդարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Իսրայելյան,Իսրայելյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Լևոնյան,Լևոնյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Լյուլեճյան,Լյուլեճյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Խազոյան,Խազոյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Խաչատրյան,Խաչատրյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Խաչիկյան,Խաչիկյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Խառատյան,Խառատյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Խոսրովյան,Խոսրովյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Խորենյան,Խորենյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Խրլոպյան,Խրլոպյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Խուդավերդյան,Խուդավերդյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Խուրշուդյան,Խուրշուդյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Ծառուկյան,Ծառուկյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կաբակչյան,Կաբակչյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կասպարյան,Կասպարյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կարակաշյան,Կարակաշյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կարամանյան,Կարամանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կարայան,Կարայան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կարապետյան,Կարապետյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կետիկյան,Կետիկյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կիրակոսյան,Կիրակոսյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կյուրեղյան,Կյուրեղյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կոստանյան,Կոստանյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կրյուչկյան,Կրյուչկյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Կույումջյան,Կույումջյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
,Հալեպյան,Հալեպյան,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,hye,Armenian,Gender.unisex,Category:Armenian surnames
