id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Achebe,Achebe,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Chukwu,Chukwu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Duru,Duru,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Igwe,Igwe,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Kalu,Kalu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Njoku,Njoku,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Nwankwo,Nwankwo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Nwosu,Nwosu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Ogbonna,Ogbonna,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Okoro,Okoro,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Okoye,Okoye,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Onuoha,Onuoha,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Ude,Ude,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Ugwu,Ugwu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Ukonu,Ukonu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
,Zabu,Zabu,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,ibo,Latin,Gender.unisex,Category:English surnames from Igbo
