id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
58960,Abueg,Abueg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58961,Agbayani,Agbayani,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58962,Agcaoili,Agcaoili,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58963,Aglipay,Aglipay,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58964,Agpangan,Agpangan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58965,Agsalud,Agsalud,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58966,Alcala,Alcala,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58967,Ancheta,Ancheta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58968,Andaya,Andaya,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58969,Arrieta,Arrieta,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58970,Bagaoisan,Bagaoisan,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58971,Baldonado,Baldonado,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58972,Ballesteros,Ballesteros,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58973,Baquiran,Baquiran,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58974,Bautista,Bautista,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58975,Bucaneg,Bucaneg,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58976,Bugarin,Bugarin,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58977,Bumanglag,Bumanglag,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58978,Cabrera,Cabrera,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58979,Cacdac,Cacdac,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58980,Caday,Caday,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58981,Carbonel,Carbonel,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
58982,Carbonell,Carbonell,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ilo,Latin,Gender.unisex,Category:Ilocano surnames
