id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
19458,Adinda,Adinda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19459,Agni,Agni,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19460,Amanda,Amanda,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19461,Ambar,Ambar,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19462,Amirah,Amirah,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19463,Andini,Andini,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19464,Anggraeni,Anggraeni,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19465,Anggraini,Anggraini,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19466,Anindya,Anindya,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19467,Anis,Anis,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19468,Arum,Arum,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19469,Dea,Dea,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19470,Dian,Dian,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19471,Dwi,Dwi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19472,Fadilah,Fadilah,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19473,Fitri,Fitri,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19474,Gendis,Gendis,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19475,Ica,Ica,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
19476,Ngatemi,Ngatemi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.female,Category:Indonesian female given names
