id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
59057,Ajartambun,Ajartambun,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59058,Al-Attas,Al-Attas,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59059,Al-Aydrus,Al-Aydrus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59060,Al-Kaf,Al-Kaf,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59061,Al-Qadri,Al-Qadri,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59062,Ang,Ang,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59063,Assegaf,Assegaf,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59064,Babo,Babo,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59065,Bangun,Bangun,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59066,Barus,Barus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59067,Benjerang,Benjerang,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59068,Beras,Beras,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59069,Bong,Bong,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
59070,Bukit,Bukit,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,ind,Latin,Gender.unisex,Category:Indonesian surnames
