id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,Andersen,Andersen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Bender,Bender,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Bergmann,Bergmann,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Bernhöft,Bernhöft,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Blöndal,Blöndal,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Briem,Briem,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Claessen,Claessen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Clausen,Clausen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Duus,Duus,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Eldjárn,Eldjárn,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Ellingsen,Ellingsen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Finsen,Finsen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Gnarr,Gnarr,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Guðjohnsen,Guðjohnsen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Haarde,Haarde,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Hansen,Hansen,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
,Hjaltalín,Hjaltalín,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,,isl,Latin,Gender.unisex,Category:Icelandic surnames
