id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,ಅಗ್ನಿ,ಅಗ್ನಿ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಕೃಷ್ಣ,ಕೃಷ್ಣ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಗಂಗಾಧರ,ಗಂಗಾಧರ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಗಣಪತಿ,ಗಣಪತಿ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಗಣೇಶ,ಗಣೇಶ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ನಾರಾಯಣ,ನಾರಾಯಣ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಮಹಾದೇವ,ಮಹಾದೇವ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಮಾಧವ,ಮಾಧವ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ರಾಮಚಂದ್ರ,ರಾಮಚಂದ್ರ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಲಕ್ಕಣ,ಲಕ್ಕಣ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ವಿಷ್ಣು,ವಿಷ್ಣು,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಶಂಕರ,ಶಂಕರ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಶಿವ,ಶಿವ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಶ್ರೀನಿವಾಸ,ಶ್ರೀನಿವಾಸ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
,ಸದಾಶಿವ,ಸದಾಶಿವ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,kan,Kannada,Gender.male,Category:Kannada male given names
