id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
57248,აბაზაშვილი,აბაზაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57249,აბაიაძე,აბაიაძე,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57250,აბაიშვილი,აბაიშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57251,აბასაშვილი,აბასაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57252,აბაშვილი,აბაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57253,აბაშიშვილი,აბაშიშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57254,აბელაშვილი,აბელაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57255,აბეწვაშვილი,აბეწვაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57256,აბიაშვილი,აბიაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57257,აბისონაშვილი,აბისონაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57258,აბრამაშვილი,აბრამაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57259,აბრამიშვილი,აბრამიშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57260,აბუაშვილი,აბუაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57261,აბულაშვილი,აბულაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57262,აბუსერიძე,აბუსერიძე,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57263,აბშილავა,აბშილავა,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57264,აგაშენაშვილი,აგაშენაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57265,აგულაშვილი,აგულაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
57266,ადამაშვილი,ადამაშვილი,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kat,Georgian,Gender.unisex,Category:Georgian surnames
