id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
71011,Асылмұратов,Асылмұратов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71012,Етекбаев,Етекбаев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71013,Жүнісов,Жүнісов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71014,Иманқұлов,Иманқұлов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71015,Исламқұлов,Исламқұлов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71016,Мәженов,Мәженов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71017,Назарбаев,Назарбаев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71018,Рүстемов,Рүстемов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71019,Сүгірбаев,Сүгірбаев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71020,Сүлейменов,Сүлейменов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71021,Сұлтанбеков,Сұлтанбеков,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71022,Торайғыров,Торайғыров,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71023,Тоқаев,Тоқаев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71024,Тұяқбаев,Тұяқбаев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71025,Ысмайылова,Ысмайылова,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71026,Қуатбаев,Қуатбаев,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71027,Құлов,Құлов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71028,Әбдірахманов,Әбдірахманов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
71029,Әлімқұлов,Әлімқұлов,https://en.wiktionary.org/w/api.php,surnames,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.unisex,Category:Kazakh surnames
